[2026-06-09 17:37:26] GET /api/report-metadata - Total: 7.53ms, DB Conn: 1.07ms, DB Query: 0.44ms
[2026-06-09 17:51:43] GET /api/filters - Total: 12.45ms, DB Conn: 3.19ms, DB Query: 1.47ms
[2026-06-09 17:51:43] GET /api/metrics/table - Total: 13.37ms, DB Conn: 2.45ms, DB Query: 1.94ms
[2026-06-09 17:51:43] GET /api/report-metadata - Total: 13.92ms, DB Conn: 2.98ms, DB Query: 0.84ms
[2026-06-09 17:51:43] GET /api/metrics/charts - Total: 17.74ms, DB Conn: 2.76ms, DB Query: 5.68ms
[2026-06-09 17:51:43] GET /api/metrics/summary - Total: 11.50ms, DB Conn: 1.75ms, DB Query: 1.00ms
[2026-06-09 17:51:43] GET /api/report-metadata - Total: 3.56ms, DB Conn: 0.96ms, DB Query: 0.47ms
[2026-06-09 17:51:43] GET /api/metrics/table - Total: 4.18ms, DB Conn: 1.10ms, DB Query: 1.09ms
[2026-06-09 17:51:43] GET /api/metrics/summary - Total: 4.25ms, DB Conn: 0.97ms, DB Query: 0.79ms
[2026-06-09 17:51:43] GET /api/filters - Total: 3.34ms, DB Conn: 0.89ms, DB Query: 0.69ms
[2026-06-09 17:51:43] GET /api/metrics/charts - Total: 6.52ms, DB Conn: 1.07ms, DB Query: 3.10ms
[2026-06-09 17:51:57] GET /api/report-metadata - Total: 5.23ms, DB Conn: 1.21ms, DB Query: 0.39ms
[2026-06-09 17:51:57] GET /api/metrics/table - Total: 6.14ms, DB Conn: 1.88ms, DB Query: 1.00ms
[2026-06-09 17:51:57] GET /api/metrics/summary - Total: 5.93ms, DB Conn: 1.66ms, DB Query: 1.01ms
[2026-06-09 17:51:57] GET /api/filters - Total: 4.86ms, DB Conn: 0.87ms, DB Query: 0.55ms
[2026-06-09 17:51:57] GET /api/metrics/charts - Total: 9.38ms, DB Conn: 1.84ms, DB Query: 3.29ms
[2026-06-09 17:51:57] GET /api/metrics/table - Total: 4.60ms, DB Conn: 0.93ms, DB Query: 0.77ms
[2026-06-09 17:51:57] GET /api/filters - Total: 3.83ms, DB Conn: 0.78ms, DB Query: 0.45ms
[2026-06-09 17:51:57] GET /api/report-metadata - Total: 3.76ms, DB Conn: 1.03ms, DB Query: 0.38ms
[2026-06-09 17:51:57] GET /api/metrics/summary - Total: 3.65ms, DB Conn: 1.01ms, DB Query: 0.77ms
[2026-06-09 17:51:57] GET /api/metrics/charts - Total: 6.69ms, DB Conn: 1.03ms, DB Query: 2.68ms
[2026-06-09 17:52:08] GET /api/report-metadata - Total: 3.97ms, DB Conn: 0.83ms, DB Query: 0.39ms
[2026-06-09 17:52:08] GET /api/metrics/summary - Total: 4.09ms, DB Conn: 1.09ms, DB Query: 0.89ms
[2026-06-09 17:52:08] GET /api/metrics/table - Total: 4.47ms, DB Conn: 0.78ms, DB Query: 0.96ms
[2026-06-09 17:52:08] GET /api/filters - Total: 4.18ms, DB Conn: 0.89ms, DB Query: 0.57ms
[2026-06-09 17:52:08] GET /api/metrics/charts - Total: 6.75ms, DB Conn: 1.17ms, DB Query: 2.89ms
